"","journal","Categories"
"5067","http://ma-graph.org/entity/19206513","Veterinary (miscellaneous) (Q2); Animal Science and Zoology (Q3)"
"5068","http://ma-graph.org/entity/192071280","Computer Science (miscellaneous) (Q1); Modeling and Simulation (Q2); Theoretical Computer Science (Q2)"
"5069","http://ma-graph.org/entity/192107914","Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
"5070","http://ma-graph.org/entity/192122970","Materials Chemistry (Q3); Polymers and Plastics (Q3)"
"5072","http://ma-graph.org/entity/192156642","Education (Q2); Developmental and Educational Psychology (Q3)"
"5073","http://ma-graph.org/entity/192184247","Computer Networks and Communications (Q4)"
"5074","http://ma-graph.org/entity/192202259","Cardiology and Cardiovascular Medicine (Q1)"
"5075","http://ma-graph.org/entity/192268925","Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1)"
"5076","http://ma-graph.org/entity/192283259","Biochemistry (Q3); Biophysics (Q3); Cell Biology (Q4)"
"5077","http://ma-graph.org/entity/192301155","Genetics (Q3); Genetics (clinical) (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)"
"5078","http://ma-graph.org/entity/192335845","Environmental Science (miscellaneous) (Q3)"
"5079","http://ma-graph.org/entity/192372812","Business and International Management (Q2); Food Science (Q3); Marketing (Q3)"
"5086","http://ma-graph.org/entity/192515372","Physiology (Q1); Physiology (medical) (Q1)"
"5087","http://ma-graph.org/entity/192518766","Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1)"
"5088","http://ma-graph.org/entity/192525298","History (Q1); History and Philosophy of Science (Q2); Earth and Planetary Sciences (miscellaneous) (Q3)"
"5089","http://ma-graph.org/entity/192534289","Literature and Literary Theory (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q3); Health Professions (miscellaneous) (Q3); Psychology (miscellaneous) (Q3)"
"5090","http://ma-graph.org/entity/192550489","Earth-Surface Processes (Q3); Geology (Q3)"
"5091","http://ma-graph.org/entity/192554527","Social Sciences (miscellaneous) (Q2)"
"5092","http://ma-graph.org/entity/192559872","Analytical Chemistry (Q1); Biochemistry (Q1); Environmental Chemistry (Q1); Spectroscopy (Q1)"
"5094","http://ma-graph.org/entity/192592622","Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
"5095","http://ma-graph.org/entity/192603849","Drug Discovery (Q2); Medicine (miscellaneous) (Q2); Pharmacology (Q2)"
"5096","http://ma-graph.org/entity/192619637","Mathematics (miscellaneous) (Q3)"
"5097","http://ma-graph.org/entity/192660949","Arts and Humanities (miscellaneous) (Q3); Gender Studies (Q3)"
"5099","http://ma-graph.org/entity/192692459","Animal Science and Zoology (Q1)"
"5100","http://ma-graph.org/entity/192705446","Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1)"
"5101","http://ma-graph.org/entity/192712274","Medicine (miscellaneous) (Q2); Microbiology (Q3); Molecular Biology (Q3)"
"5102","http://ma-graph.org/entity/192723185","Business and International Management (Q2); Library and Information Sciences (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2)"
"5103","http://ma-graph.org/entity/192766619","Gastroenterology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
"5108","http://ma-graph.org/entity/192843772","Computer Science (miscellaneous) (Q3)"
"5111","http://ma-graph.org/entity/192904278","Agronomy and Crop Science (Q3); Soil Science (Q4)"
"5112","http://ma-graph.org/entity/192916955","Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4)"
"5115","http://ma-graph.org/entity/192937065","Immunology (Q1); Immunology and Allergy (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
"5117","http://ma-graph.org/entity/193006928","Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)"
"5118","http://ma-graph.org/entity/193011845","Education (Q3); Mathematics (miscellaneous) (Q3)"
"5119","http://ma-graph.org/entity/193040567","Communication (Q1)"
"5120","http://ma-graph.org/entity/193055789","Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
"5123","http://ma-graph.org/entity/193091622","Music (Q3)"
"5125","http://ma-graph.org/entity/193112073","Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2)"
"5127","http://ma-graph.org/entity/193132355","Food Science (Q1); Applied Microbiology and Biotechnology (Q2); Bioengineering (Q2)"
"5131","http://ma-graph.org/entity/193177744","History (Q2); Cultural Studies (Q3); Political Science and International Relations (Q4)"
"5134","http://ma-graph.org/entity/193228948","Oceanography (Q2)"
"5135","http://ma-graph.org/entity/193249117","Ecology, Evolution, Behavior and Systematics (Q4)"
"5136","http://ma-graph.org/entity/193250556","Education (Q1); Public Health, Environmental and Occupational Health (Q1)"
"5142","http://ma-graph.org/entity/193313611","Materials Chemistry (Q2); Polymers and Plastics (Q2); Bioengineering (Q3); Biomaterials (Q3)"
"5144","http://ma-graph.org/entity/193354800","Agronomy and Crop Science (Q1); Soil Science (Q1)"
"5145","http://ma-graph.org/entity/193359815","Sociology and Political Science (Q1)"
"5147","http://ma-graph.org/entity/193386727","Animal Science and Zoology (Q1)"
"5148","http://ma-graph.org/entity/193396206","History (Q2); Sociology and Political Science (Q4)"
"5149","http://ma-graph.org/entity/193409603","Geography, Planning and Development (Q1); Health (social science) (Q1); Health Policy (Q2); Medicine (miscellaneous) (Q2)"
"5151","http://ma-graph.org/entity/193415437","Neurology (clinical) (Q4); Surgery (Q4)"
"5153","http://ma-graph.org/entity/193475107","Atomic and Molecular Physics, and Optics (Q3); Condensed Matter Physics (Q3); Nuclear and High Energy Physics (Q3); Physical and Theoretical Chemistry (Q4)"
"5156","http://ma-graph.org/entity/193535841","Biomedical Engineering (Q1); Nanoscience and Nanotechnology (Q1); Toxicology (Q1)"
"5159","http://ma-graph.org/entity/19358283","Communication (Q1); Marketing (Q1)"
"5162","http://ma-graph.org/entity/193620188","Horticulture (Q1)"
"5163","http://ma-graph.org/entity/193624734","Aerospace Engineering (Q1); Electrical and Electronic Engineering (Q1)"
"5164","http://ma-graph.org/entity/193626562","Medicine (miscellaneous) (Q1); Surgery (Q1)"
"5168","http://ma-graph.org/entity/193665811","Materials Chemistry (Q2); Polymers and Plastics (Q2); Environmental Engineering (Q3)"
"5169","http://ma-graph.org/entity/193671726","Food Science (Q3); Organic Chemistry (Q3)"
"5171","http://ma-graph.org/entity/193683933","Animal Science and Zoology (Q2); Ecology (Q2); Nature and Landscape Conservation (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
"5172","http://ma-graph.org/entity/193700400","Anesthesiology and Pain Medicine (Q1)"
"5173","http://ma-graph.org/entity/19371312","Education (Q1); Medicine (miscellaneous) (Q1)"
"5176","http://ma-graph.org/entity/193791498","Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3); Materials Chemistry (Q3); Physical and Theoretical Chemistry (Q4)"
"5177","http://ma-graph.org/entity/193796672","Language and Linguistics (Q1); Linguistics and Language (Q1)"
"5178","http://ma-graph.org/entity/193803878","Computer Science (miscellaneous) (Q3); Management of Technology and Innovation (Q3)"
"5180","http://ma-graph.org/entity/19392275","Analysis (Q1); Applied Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1)"
"5181","http://ma-graph.org/entity/193927184","Medicine (miscellaneous) (Q3)"
"5182","http://ma-graph.org/entity/193994340","Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
"5185","http://ma-graph.org/entity/194017625","Complementary and Alternative Medicine (Q3)"
"5189","http://ma-graph.org/entity/194044894","Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
"5191","http://ma-graph.org/entity/194095581","Automotive Engineering (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)"
"5192","http://ma-graph.org/entity/194154261","Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
"5193","http://ma-graph.org/entity/194165823","Nephrology (Q2)"
"5194","http://ma-graph.org/entity/194185248","Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2); Waste Management and Disposal (Q2)"
"5195","http://ma-graph.org/entity/194236184","Urban Studies (Q1); Ecology (Q2)"
"5196","http://ma-graph.org/entity/194242317","Philosophy (Q2)"
"5201","http://ma-graph.org/entity/194317145","Aquatic Science (Q3)"
"5205","http://ma-graph.org/entity/194402510","Communication (Q1)"
"5206","http://ma-graph.org/entity/194416120","Veterinary (miscellaneous) (Q1); Immunology (Q3)"
"5207","http://ma-graph.org/entity/194468602","Economics, Econometrics and Finance (miscellaneous) (Q2)"
"5209","http://ma-graph.org/entity/194494970","History (Q3)"
"5210","http://ma-graph.org/entity/19450991","Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
"5211","http://ma-graph.org/entity/194514787","Health Policy (Q1); Medicine (miscellaneous) (Q1); Economics and Econometrics (Q2)"
"5212","http://ma-graph.org/entity/194540436","Orthopedics and Sports Medicine (Q2); Surgery (Q2)"
"5214","http://ma-graph.org/entity/194562448","Earth and Planetary Sciences (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1)"
"5215","http://ma-graph.org/entity/194615914","Information Systems and Management (Q2); E-learning (Q3); Information Systems (Q3)"
"5217","http://ma-graph.org/entity/194633539","History (Q1); Education (Q2)"
"5219","http://ma-graph.org/entity/194652459","Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
"5220","http://ma-graph.org/entity/194656152","Gastroenterology (Q1); Physiology (Q2)"
"5221","http://ma-graph.org/entity/194662844","Food Science (Q1); Nutrition and Dietetics (Q2)"
"5222","http://ma-graph.org/entity/194663980","Law (Q1)"
"5223","http://ma-graph.org/entity/194691280","Physics and Astronomy (miscellaneous) (Q1)"
"5225","http://ma-graph.org/entity/194739432","Geochemistry and Petrology (Q1); Geophysics (Q1)"
"5226","http://ma-graph.org/entity/194752149","Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
"5227","http://ma-graph.org/entity/194824457","Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)"
"5228","http://ma-graph.org/entity/194824834","Chemistry (miscellaneous) (Q4)"
"5229","http://ma-graph.org/entity/194842327","Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
"5230","http://ma-graph.org/entity/194854559","Mathematics (miscellaneous) (Q3)"
"5231","http://ma-graph.org/entity/194867674","Hardware and Architecture (Q4)"
"5232","http://ma-graph.org/entity/194872021","Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3)"
"5234","http://ma-graph.org/entity/194945867","Leadership and Management (Q1); Medicine (miscellaneous) (Q2)"
"5238","http://ma-graph.org/entity/195000414","Periodontics (Q2)"
"5239","http://ma-graph.org/entity/195013635","Geography, Planning and Development (Q1); Earth-Surface Processes (Q2); Management, Monitoring, Policy and Law (Q2)"
"5240","http://ma-graph.org/entity/195017448","Agronomy and Crop Science (Q3)"
"5241","http://ma-graph.org/entity/195023472","Computer Networks and Communications (Q2); Computer Vision and Pattern Recognition (Q2); Applied Mathematics (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)"
"5242","http://ma-graph.org/entity/19503097","Ocean Engineering (Q1)"
"5243","http://ma-graph.org/entity/195061619","Hematology (Q3)"
"5244","http://ma-graph.org/entity/19507835","Psychiatry and Mental Health (Q4)"
"5247","http://ma-graph.org/entity/195167216","Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)"
"5248","http://ma-graph.org/entity/195182175","Gastroenterology (Q1)"
"5249","http://ma-graph.org/entity/195188575","Marketing (Q1)"
"5252","http://ma-graph.org/entity/195241399","History and Philosophy of Science (Q4)"
"5253","http://ma-graph.org/entity/195279327","Cultural Studies (Q2); History (Q2); Anthropology (Q3); Sociology and Political Science (Q3)"
"5254","http://ma-graph.org/entity/195297104","Sociology and Political Science (Q1); Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)"
"5259","http://ma-graph.org/entity/195430055","Pediatrics, Perinatology and Child Health (Q3); Neuroscience (miscellaneous) (Q4)"
"5261","http://ma-graph.org/entity/195553305","Anthropology (Q1); Communication (Q1); Developmental and Educational Psychology (Q1); Linguistics and Language (Q1)"
"5262","http://ma-graph.org/entity/195556561","Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
"5265","http://ma-graph.org/entity/195570583","Sociology and Political Science (Q1)"
"5266","http://ma-graph.org/entity/195598543","Geriatrics and Gerontology (Q1); Psychiatry and Mental Health (Q1); Cognitive Neuroscience (Q2)"
"5268","http://ma-graph.org/entity/195663827","Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3)"
"5269","http://ma-graph.org/entity/195681097","Electrical and Electronic Engineering (Q3)"
"5272","http://ma-graph.org/entity/195727172","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Complementary and Alternative Medicine (Q1); Plant Science (Q1)"
"5274","http://ma-graph.org/entity/195759676","Epidemiology (Q1); Public Health, Environmental and Occupational Health (Q1)"
"5275","http://ma-graph.org/entity/195776158","Political Science and International Relations (Q1)"
"5277","http://ma-graph.org/entity/195809937","Modeling and Simulation (Q1); Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Ecological Modeling (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
"5278","http://ma-graph.org/entity/195882388","Medicine (miscellaneous) (Q3); Ophthalmology (Q3)"
"5279","http://ma-graph.org/entity/195900089","Cultural Studies (Q3); History (Q3)"
"5280","http://ma-graph.org/entity/195909765","Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Oceanography (Q1)"
"5281","http://ma-graph.org/entity/1959426","Catalysis (Q1); Physical and Theoretical Chemistry (Q1)"
"5282","http://ma-graph.org/entity/195965714","Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
"5283","http://ma-graph.org/entity/195969795","Oncology (nursing) (Q3)"
"5286","http://ma-graph.org/entity/196029703","Communication (Q1); Education (Q1); Language and Linguistics (Q1)"
"5287","http://ma-graph.org/entity/196034224","Business and International Management (Q1); Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
"5288","http://ma-graph.org/entity/196057155","Engineering (miscellaneous) (Q1); Education (Q2)"
"5289","http://ma-graph.org/entity/19605986","Electrical and Electronic Engineering (Q2); Acoustics and Ultrasonics (Q3)"
"5291","http://ma-graph.org/entity/196084433","Social Sciences (miscellaneous) (Q2); Public Administration (Q3); Sociology and Political Science (Q3)"
"5294","http://ma-graph.org/entity/196188613","Language and Linguistics (Q2); Linguistics and Language (Q2)"
"5295","http://ma-graph.org/entity/196205230","Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
"5296","http://ma-graph.org/entity/196213271","Education (Q3)"
"5297","http://ma-graph.org/entity/196280712","Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
"5298","http://ma-graph.org/entity/196329220","Plant Science (Q3); Agronomy and Crop Science (Q4)"
"5300","http://ma-graph.org/entity/196354030","Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Management of Technology and Innovation (Q4)"
"5301","http://ma-graph.org/entity/196366644","Physiology (Q1)"
"5302","http://ma-graph.org/entity/196369100","Philosophy (Q4)"
"5303","http://ma-graph.org/entity/196403249","Veterinary (miscellaneous) (Q2)"
"5304","http://ma-graph.org/entity/196414289","Philosophy (Q1); Arts and Humanities (miscellaneous) (Q2); Education (Q2); Sociology and Political Science (Q2)"
"5305","http://ma-graph.org/entity/196419826","Paleontology (Q2)"
"5306","http://ma-graph.org/entity/196489185","Anthropology (Q1); Cultural Studies (Q1)"
"5307","http://ma-graph.org/entity/196493665","Safety Research (Q1); Public Health, Environmental and Occupational Health (Q2)"
"5308","http://ma-graph.org/entity/196498761","Chemical Engineering (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q2)"
"5311","http://ma-graph.org/entity/196564809","Economics and Econometrics (Q2)"
"5312","http://ma-graph.org/entity/196600401","Acoustics and Ultrasonics (Q4); Mechanical Engineering (Q4); Safety, Risk, Reliability and Quality (Q4)"
"5313","http://ma-graph.org/entity/196601016","Critical Care Nursing (Q3)"
"5316","http://ma-graph.org/entity/196682830","Stratigraphy (Q2); Geology (Q3)"
"5318","http://ma-graph.org/entity/196716848","Economics, Econometrics and Finance (miscellaneous) (Q1)"
"5319","http://ma-graph.org/entity/196718495","Law (Q4)"
"5321","http://ma-graph.org/entity/196724125","Cell Biology (Q1); Molecular Biology (Q1)"
"5322","http://ma-graph.org/entity/196725758","Dermatology (Q3); Surgery (Q3)"
"5323","http://ma-graph.org/entity/196738760","Agricultural and Biological Sciences (miscellaneous) (Q3)"
"5324","http://ma-graph.org/entity/196754188","Pathology and Forensic Medicine (Q3); Structural Biology (Q4)"
"5325","http://ma-graph.org/entity/19676749","Chemistry (miscellaneous) (Q2)"
"5326","http://ma-graph.org/entity/196783408","Agronomy and Crop Science (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1)"
"5328","http://ma-graph.org/entity/19681352","Electrical and Electronic Engineering (Q4)"
"5329","http://ma-graph.org/entity/196821226","Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)"
"5330","http://ma-graph.org/entity/196823831","Mathematics (miscellaneous) (Q4)"
"5331","http://ma-graph.org/entity/196825396","Chemical Engineering (miscellaneous) (Q2); Waste Management and Disposal (Q2); Renewable Energy, Sustainability and the Environment (Q3)"
"5334","http://ma-graph.org/entity/196895796","Visual Arts and Performing Arts (Q4)"
"5336","http://ma-graph.org/entity/196911494","Philosophy (Q2)"
"5337","http://ma-graph.org/entity/196919950","Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)"
"5338","http://ma-graph.org/entity/196942124","Medicine (miscellaneous) (Q3)"
"5340","http://ma-graph.org/entity/196955526","Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3)"
"5342","http://ma-graph.org/entity/196971919","Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2); Reproductive Medicine (Q3)"
"5343","http://ma-graph.org/entity/196979320","Urology (Q1)"
"5344","http://ma-graph.org/entity/196980128","Language and Linguistics (Q2); Linguistics and Language (Q2)"
"5345","http://ma-graph.org/entity/197008727","Music (Q1)"
"5346","http://ma-graph.org/entity/197016887","Urology (Q4)"
"5347","http://ma-graph.org/entity/197027301","Condensed Matter Physics (Q3); Instrumentation (Q3); Materials Science (miscellaneous) (Q3); Radiation (Q3)"
"5348","http://ma-graph.org/entity/197055754","Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2)"
"5349","http://ma-graph.org/entity/197058623","Geology (Q2); Paleontology (Q2); Stratigraphy (Q2)"
"5350","http://ma-graph.org/entity/197070928","Complementary and Alternative Medicine (Q1); Oncology (Q2)"
"5351","http://ma-graph.org/entity/197082215","Visual Arts and Performing Arts (Q1); Music (Q2)"
"5352","http://ma-graph.org/entity/197087632","Dermatology (Q2); Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Immunology (Q3); Immunology and Allergy (Q3)"
"5353","http://ma-graph.org/entity/197091645","Polymers and Plastics (Q2)"
"5354","http://ma-graph.org/entity/19710621","Dermatology (Q2); Immunology and Allergy (Q3)"
"5356","http://ma-graph.org/entity/197145128","Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)"
"5357","http://ma-graph.org/entity/197149224","Strategy and Management (Q2); Decision Sciences (miscellaneous) (Q3)"
"5358","http://ma-graph.org/entity/197152527","Agricultural and Biological Sciences (miscellaneous) (Q1)"
"5360","http://ma-graph.org/entity/197191252","Economics, Econometrics and Finance (miscellaneous) (Q1); Law (Q1)"
"5361","http://ma-graph.org/entity/197218378","Applied Psychology (Q2); Psychiatry and Mental Health (Q2)"
"5364","http://ma-graph.org/entity/197285354","Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2); Genetics (clinical) (Q3)"
"5365","http://ma-graph.org/entity/19730638","Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)"
"5367","http://ma-graph.org/entity/197311665","Medicine (miscellaneous) (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
"5368","http://ma-graph.org/entity/197325794","Biochemistry (Q4); Medicine (miscellaneous) (Q4); Organic Chemistry (Q4)"
"5369","http://ma-graph.org/entity/197326982","History (Q4)"
"5370","http://ma-graph.org/entity/19733918","Immunology (Q2); Immunology and Allergy (Q2)"
"5371","http://ma-graph.org/entity/197347369","Multidisciplinary (Q2)"
"5372","http://ma-graph.org/entity/197391233","Visual Arts and Performing Arts (Q2)"
"5373","http://ma-graph.org/entity/197396629","Accounting (Q1)"
"5374","http://ma-graph.org/entity/197402693","Ecology, Evolution, Behavior and Systematics (Q2)"
"5375","http://ma-graph.org/entity/197406704","Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2); Physiology (Q3); Molecular Biology (Q4); Structural Biology (Q4)"
"5377","http://ma-graph.org/entity/197419112","Philosophy (Q1); Computer Science (miscellaneous) (Q2); Linguistics and Language (Q2)"
"5378","http://ma-graph.org/entity/197421902","Energy Engineering and Power Technology (Q2); Fuel Technology (Q2)"
"5379","http://ma-graph.org/entity/197437610","Archeology (Q1); History (Q1); Museology (Q1)"
"5381","http://ma-graph.org/entity/197555986","Pediatrics (Q2); Medicine (miscellaneous) (Q3); Psychiatric Mental Health (Q3); Psychiatry and Mental Health (Q3)"
"5382","http://ma-graph.org/entity/197560202","Agronomy and Crop Science (Q2); Biotechnology (Q2)"
"5383","http://ma-graph.org/entity/197743716","Nuclear Energy and Engineering (Q1)"
"5384","http://ma-graph.org/entity/197748570","Orthopedics and Sports Medicine (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
"5385","http://ma-graph.org/entity/19775678","Obstetrics and Gynecology (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Physiology (medical) (Q2); Reproductive Medicine (Q2)"
"5388","http://ma-graph.org/entity/197782650","Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3)"
"5391","http://ma-graph.org/entity/197833043","Chemical Engineering (miscellaneous) (Q2); Condensed Matter Physics (Q3); Energy Engineering and Power Technology (Q3); Fuel Technology (Q3)"
"5392","http://ma-graph.org/entity/19783875","Medicine (miscellaneous) (Q2); Physiology (Q3); Physiology (medical) (Q3)"
"5394","http://ma-graph.org/entity/197895017","Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
"5396","http://ma-graph.org/entity/197964166","Organic Chemistry (Q1); Catalysis (Q2)"
"5397","http://ma-graph.org/entity/197964821","Gastroenterology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
"5398","http://ma-graph.org/entity/197981039","Economics and Econometrics (Q2)"
"5399","http://ma-graph.org/entity/19799837","Geophysics (Q2); Pollution (Q2); Atmospheric Science (Q3)"
"5401","http://ma-graph.org/entity/19800340","Mathematics (miscellaneous) (Q2)"
"5402","http://ma-graph.org/entity/198035802","History (Q4)"
"5403","http://ma-graph.org/entity/198068624","Sociology and Political Science (Q3); Accounting (Q4)"
"5404","http://ma-graph.org/entity/198080574","Ophthalmology (Q2)"
"5406","http://ma-graph.org/entity/198098182","Electrical and Electronic Engineering (Q1); Control and Optimization (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
"5407","http://ma-graph.org/entity/198098467","Economics and Econometrics (Q1); Finance (Q1)"
"5409","http://ma-graph.org/entity/198128313","Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2); Condensed Matter Physics (Q3)"
"5410","http://ma-graph.org/entity/198157528","Analysis (Q2); Political Science and International Relations (Q2); Geometry and Topology (Q3)"
"5411","http://ma-graph.org/entity/198172604","Agronomy and Crop Science (Q3); Plant Science (Q3); Soil Science (Q3); Genetics (Q4)"
"5412","http://ma-graph.org/entity/198188496","Demography (Q1); Geography, Planning and Development (Q1); Public Health, Environmental and Occupational Health (Q1)"
"5414","http://ma-graph.org/entity/19824833","Cardiology and Cardiovascular Medicine (Q3); Pharmacology (medical) (Q3)"
"5415","http://ma-graph.org/entity/198270155","Electrical and Electronic Engineering (Q4)"
"5416","http://ma-graph.org/entity/198272637","Pediatrics, Perinatology and Child Health (Q1); Pharmacology (medical) (Q2); Psychiatry and Mental Health (Q2)"
"5418","http://ma-graph.org/entity/198288194","Music (Q1); Applied Mathematics (Q3); Computational Mathematics (Q3); Modeling and Simulation (Q3)"
"5420","http://ma-graph.org/entity/198336703","Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)"
"5421","http://ma-graph.org/entity/198339081","Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1)"
"5422","http://ma-graph.org/entity/19834704","Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q2)"
"5427","http://ma-graph.org/entity/198504937","Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2)"
"5429","http://ma-graph.org/entity/198573919","Earth-Surface Processes (Q2); Geology (Q2); Pollution (Q2); Soil Science (Q2); Water Science and Technology (Q2); Environmental Chemistry (Q3); Global and Planetary Change (Q3)"
"5432","http://ma-graph.org/entity/198620474","Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
"5433","http://ma-graph.org/entity/198620782","Philosophy (Q3)"
"5435","http://ma-graph.org/entity/198631103","Education (Q1); Sports Science (Q2)"
"5436","http://ma-graph.org/entity/19864348","Hematology (Q4); Oncology (Q4)"
"5437","http://ma-graph.org/entity/198645039","History (Q1); Literature and Literary Theory (Q1); Religious Studies (Q1); Cultural Studies (Q2)"
"5438","http://ma-graph.org/entity/198666238","Language and Linguistics (Q1); Education (Q2)"
"5440","http://ma-graph.org/entity/198724541","Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)"
"5441","http://ma-graph.org/entity/198731068","History (Q1)"
"5442","http://ma-graph.org/entity/198733495","Medicine (miscellaneous) (Q1); Pulmonary and Respiratory Medicine (Q1)"
"5443","http://ma-graph.org/entity/198743898","Condensed Matter Physics (Q4); Electrical and Electronic Engineering (Q4); Nuclear and High Energy Physics (Q4)"
"5444","http://ma-graph.org/entity/198786835","Education (Q1)"
"5445","http://ma-graph.org/entity/198818534","Health (social science) (Q3); Medicine (miscellaneous) (Q3)"
"5446","http://ma-graph.org/entity/198822128","Veterinary (miscellaneous) (Q4)"
"5449","http://ma-graph.org/entity/19887683","Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
"5450","http://ma-graph.org/entity/198914822","Earth and Planetary Sciences (miscellaneous) (Q2)"
"5452","http://ma-graph.org/entity/198984855","Electrical and Electronic Engineering (Q3); Astronomy and Astrophysics (Q4)"
"5453","http://ma-graph.org/entity/198995136","Religious Studies (Q2); Philosophy (Q3)"
"5455","http://ma-graph.org/entity/199072448","Philosophy (Q1)"
"5456","http://ma-graph.org/entity/199072659","Immunology (Q3); Molecular Medicine (Q3); Virology (Q3)"
"5457","http://ma-graph.org/entity/199078552","Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
"5458","http://ma-graph.org/entity/199096643","Geography, Planning and Development (Q3)"
